hanja,unicode,reading,meaning_kw
籠,U+7C60,롱,대그릇
壟,U+58DF,롱,언덕
朧,U+6727,롱,흐릿할
聾,U+807E,롱,귀머거리
儱,U+5131,롱,건목칠
攏,U+650F,롱,누를
曨,U+66E8,롱,어스레할
礱,U+7931,롱,갈
蘢,U+8622,롱,개여뀌
隴,U+96B4,롱,고개 이름
雷,U+96F7,뢰,우뢰
賴,U+8CF4,뢰,힘 입을
頼,U+983C,뢰,의뢰할
料,U+6599,료,되질할
了,U+4E86,료,마칠
僚,U+50DA,료,동료
龍,U+9F8D,룡,용
龒,U+9F92,룡,용
竜,U+7ADC,룡,용
柳,U+67F3,류,버들
留,U+7559,류,머무를
流,U+6D41,류,흐를
類,U+985E,류,무리
琉,U+7409,류,유리
劉,U+5289,류,죽일
硫,U+786B,류,유황
瘤,U+7624,류,혹
旒,U+65D2,류,깃발
榴,U+69B4,류,석류나무
溜,U+6E9C,류,방울져 떨어질
瀏,U+700F,류,맑을
謬,U+8B2C,류,그릇될
橊,U+6A4A,류,석류나무
縲,U+7E32,류,포승
纍,U+7E8D,류,갇힐
遛,U+905B,류,머무를
鶹,U+9DB9,류,올빼미
瑠,U+7460,류,맑은 유리
六,U+516D,륙,여섯
陸,U+9678,륙,뭍
戮,U+622E,륙,죽일
勠,U+52E0,륙,협력할
倫,U+502B,륜,인륜
輪,U+8F2A,륜,바퀴
侖,U+4F96,륜,둥글
崙,U+5D19,륜,산 이름
綸,U+7DB8,륜,낚싯줄
淪,U+6DEA,륜,물놀이
錀,U+9300,륜,
圇,U+5707,륜,완전할
掄,U+6384,륜,가릴
崘,U+5D18,륜,
律,U+5F8B,률,법
栗,U+6817,률,밤나무
率,U+7387,률,거느릴
慄,U+6144,률,두려워할
嵂,U+5D42,률,가파를
𥠲,U+25832,률,
瑮,U+746E,률,
溧,U+6EA7,률,강 이름
隆,U+9686,륭,클
癃,U+7643,륭,느른할
窿,U+7ABF,륭,활꼴
㦕,U+3995,륭,
廩,U+5EE9,름,곳집
凛,U+51DB,름,찰
菻,U+83FB,름,
澟,U+6F9F,름,서늘할
凜,U+51DC,름,찰
陵,U+9675,릉,큰 언덕
綾,U+7DBE,릉,비단
菱,U+83F1,릉,마름
稜,U+7A1C,릉,모
凌,U+51CC,릉,능가할
倰,U+5030,릉,속일
蔆,U+8506,릉,마름
楞,U+695E,릉,모
李,U+674E,리,오얏
吏,U+540F,리,벼슬아치
離,U+96E2,리,떼 놓을
裏,U+88CF,리,속
𢻠,U+22EE0,리,
犂,U+7282,리,
摛,U+645B,리,
剺,U+527A,리,벗길
哩,U+54E9,리,어조사
嫠,U+5AE0,리,과부
莅,U+8385,리,다다를
蜊,U+870A,리,참조개
螭,U+87AD,리,교륭
貍,U+8C8D,리,삵
邐,U+9090,리,이어질
魑,U+9B51,리,도깨비
黐,U+9ED0,리,끈끈이
漓,U+6F13,리,스며들
鄰,U+9130,린,이웃
麟,U+9E9F,린,기린
𪊭,U+2A2AD,린,
隣,U+96A3,린,이웃
林,U+6797,림,수풀
臨,U+81E8,림,임할
琳,U+7433,림,아름다운 옥
霖,U+9716,림,장마
淋,U+6DCB,림,물뿌릴
棽,U+68FD,림,
碄,U+7884,림,
晽,U+667D,림,
玪,U+73AA,림,
痳,U+75F3,림,임질
立,U+7ACB,립,설
笠,U+7B20,립,우리
粒,U+7C92,립,알
砬,U+782C,립,돌 소리
岦,U+5CA6,립,산 우뚝할
馬,U+99AC,마,말
麻,U+9EBB,마,삼
磨,U+78E8,마,갈
瑪,U+746A,마,마노
摩,U+6469,마,갈
痲,U+75F2,마,저릴
碼,U+78BC,마,마노
魔,U+9B54,마,마귀
媽,U+5ABD,마,어미
劘,U+5298,마,깍을
螞,U+879E,마,말거머리
蟇,U+87C7,마,개구리
麽,U+9EBD,마,잘
莫,U+83AB,막,없을
幕,U+5E55,막,막
漠,U+6F20,막,사막
寞,U+5BDE,막,쓸쓸할
膜,U+819C,막,막
邈,U+9088,막,멀
瞙,U+7799,막,눈 흐릴
鏌,U+93CC,막,칼 이름
萬,U+842C,만,일만
万,U+4E07,만,일만
末,U+672B,말,끝
茉,U+8309,말,말리
唜,U+551C,말,끌
抹,U+62B9,말,바랄
沫,U+6CAB,말,거품
襪,U+896A,말,버선
靺,U+977A,말,버선
帕,U+5E15,말,머리띠
秣,U+79E3,말,꼴
網,U+7DB2,망,그물
芒,U+8292,망,까끄라기
輞,U+8F1E,망,바퀴테
邙,U+9099,망,산 이름
惘,U+60D8,망,멍할
汒,U+6C52,망,황급할
漭,U+6F2D,망,넓을
魍,U+9B4D,망,도깨비
莽,U+83BD,망,우거질
望,U+671B,망,바랄
朢,U+6722,망,
麥,U+9EA5,맥,보리
脈,U+8108,맥,맥
貊,U+8C8A,맥,북방 종족
陌,U+964C,맥,두렁
驀,U+9A40,맥,말탈
貃,U+8C83,맥,오랑캐
貘,U+8C98,맥,짐승 이름
孟,U+5B5F,맹,맏
猛,U+731B,맹,사나울
盟,U+76DF,맹,맹세할
盲,U+76F2,맹,소경
萌,U+840C,맹,싹
氓,U+6C13,맹,백성
甍,U+750D,맹,용마루
甿,U+753F,맹,백성
虻,U+867B,맹,등에
冕,U+5195,면,면류관
棉,U+68C9,면,목화
沔,U+6C94,면,물 흐를
眄,U+7704,면,애꾸눈
緬,U+7DEC,면,가는 실
麪,U+9EAA,면,밀가루
俛,U+4FDB,면,힘쓸
湎,U+6E4E,면,빠질
緜,U+7DDC,면,햇솜
麵,U+9EB5,면,밀가루
滅,U+6EC5,멸,멸망할
蔑,U+8511,멸,업신여길
篾,U+7BFE,멸,대 껍질
衊,U+884A,멸,모독할
溟,U+6E9F,명,어두울
暝,U+669D,명,어두울
椧,U+6927,명,홈 통
皿,U+76BF,명,그릇
瞑,U+7791,명,눈 감을
茗,U+8317,명,차 싹
蓂,U+84C2,명,명협
螟,U+879F,명,마디충
酩,U+9169,명,술 취할
慏,U+614F,명,
洺,U+6D3A,명,강 이름
眀,U+7700,명,
䳟,U+4CDF,명,
謀,U+8B00,모,꾀할
模,U+6A21,모,법
貌,U+8C8C,모,얼굴
募,U+52DF,모,모을
木,U+6728,목,나무
目,U+76EE,목,눈
牧,U+7267,목,칠
睦,U+7766,목,화목할
穆,U+7A46,목,화목할
鶩,U+9DA9,목,집오리
沐,U+6C90,목,머리감을
苜,U+82DC,목,거여목
沒,U+6C92,몰,가라 앉을
歿,U+6B7F,몰,죽을
夢,U+5922,몽,꿈
蒙,U+8499,몽,입을
朦,U+6726,몽,풍부할
幪,U+5E6A,몽,덮을
懞,U+61DE,몽,어두울
曚,U+66DA,몽,어두울
溕,U+6E95,몽,이슬비
濛,U+6FDB,몽,가랑비 올
瞢,U+77A2,몽,어두울
矇,U+77C7,몽,소경
艨,U+8268,몽,싸움배
雺,U+96FA,몽,안개
鸏,U+9E0F,몽,비둘기
描,U+63CF,묘,그릴
錨,U+9328,묘,닻
畝,U+755D,묘,이랑
昴,U+6634,묘,별자리 이름
杳,U+6773,묘,어두울
渺,U+6E3A,묘,아득할
猫,U+732B,묘,고양이
淼,U+6DFC,묘,물 아득할
眇,U+7707,묘,애꾸눈
藐,U+85D0,묘,작을
貓,U+8C93,묘,고양이
妙,U+5999,묘,묘할
竗,U+7AD7,묘,땅 이름
無,U+7121,무,없을
无,U+65E0,무,없을
墨,U+58A8,묵,먹
默,U+9ED8,묵,묵묵할
嘿,U+563F,묵,고요할
門,U+9580,문,문
問,U+554F,문,물을
聞,U+805E,문,들을
文,U+6587,문,무늬
勿,U+52FF,물,말
物,U+7269,물,만물
沕,U+6C95,물,아득할
媺,U+5ABA,미,착하고 아름다울
濔,U+6FD4,미,
煝,U+715D,미,
娓,U+5A13,미,장황할
洣,U+6D23,미,
侎,U+4F8E,미,어루만질
瑂,U+7442,미,
𥹄,U+25E44,미,
㵟,U+3D5F,미,
冞,U+519E,미,점점
蘪,U+862A,미,
亹,U+4EB9,미,힘쓸
弭,U+5F2D,미,활고자
彌,U+5F4C,미,두루
弥,U+5F25,미,미륵
民,U+6C11,민,백성
敏,U+654F,민,민첩할
憫,U+61AB,민,불쌍히 여길
悶,U+60B6,민,번민할
緡,U+7DE1,민,낚시줄
𩔉,U+29509,민,
鈱,U+9231,민,
脗,U+8117,민,
閩,U+95A9,민,종족이름
盿,U+76FF,민,
罠,U+7F60,민,그물
琝,U+741D,민,
琘,U+7418,민,
緍,U+7DCD,민,낚시줄
苠,U+82E0,민,속대
鰵,U+9C35,민,대구
黽,U+9EFD,민,힘쓸
珉,U+73C9,민,아름다운돌
瑉,U+7449,민,
砇,U+7807,민,
䃉,U+40C9,민,
忞,U+5FDE,민,강인할
忟,U+5FDF,민,강인할
密,U+5BC6,밀,빽빽할
蜜,U+871C,밀,꿀
謐,U+8B10,밀,고요할
樒,U+6A12,밀,침향
滵,U+6EF5,밀,물 흐르는 모양
盤,U+76E4,반,소반
班,U+73ED,반,나눌
返,U+8FD4,반,돌이킬
叛,U+53DB,반,배반할
發,U+767C,발,쏠
拔,U+62D4,발,뺄
髮,U+9AEE,발,터럭
潑,U+6F51,발,뿌릴
鉢,U+9262,발,바리때
渤,U+6E24,발,바다이름
勃,U+52C3,발,갑작스러울
撥,U+64A5,발,다스릴
跋,U+8DCB,발,밟을
醱,U+91B1,발,술 괼
魃,U+9B43,발,가물 귀신
炦,U+70A6,발,
哱,U+54F1,발,어지러울
浡,U+6D61,발,일어날
脖,U+8116,발,배꼽
鈸,U+9238,발,방울
鵓,U+9D53,발,집비둘기
訪,U+8A2A,방,찾을
芳,U+82B3,방,꽃다울
傍,U+508D,방,곁
妨,U+59A8,방,방해할
蒡,U+84A1,방,인동 덩굴
蚌,U+868C,방,방합
謗,U+8B17,방,헐뜯을
幫,U+5E6B,방,도울
仿,U+4EFF,방,헤멜
厖,U+5396,방,클
徬,U+5FAC,방,시중들
搒,U+6412,방,배저을
旊,U+65CA,방,옹기장
梆,U+6886,방,목어
牓,U+7253,방,패
舽,U+823D,방,배
螃,U+8783,방,방게
鎊,U+938A,방,깎을
幇,U+5E47,방,도울
杯,U+676F,배,잔
盃,U+76C3,배,잔
裴,U+88F4,배,옷 치렁치렁할
裵,U+88F5,배,치렁치렁할
白,U+767D,백,흰
百,U+767E,백,일백
伯,U+4F2F,백,맏
佰,U+4F70,백,일백
帛,U+5E1B,백,비단
魄,U+9B44,백,넋
柏,U+67CF,백,나무 이름
苩,U+82E9,백,
䞟,U+479F,백,
珀,U+73C0,백,호박
栢,U+6822,백,측백
番,U+756A,번,갈마들
煩,U+7169,번,괴로워할
繁,U+7E41,번,많을
飜,U+98DC,번,뒤칠
蕃,U+8543,번,우거질
幡,U+5E61,번,기
樊,U+6A0A,번,울
燔,U+71D4,번,구울
磻,U+78FB,번,강이름
藩,U+85E9,번,덮을
繙,U+7E59,번,되풀이 풀이할
膰,U+81B0,번,제사 고기
蘩,U+8629,번,산흰쑥
袢,U+88A2,번,속옷
翻,U+7FFB,번,날
伐,U+4F10,벌,칠
罰,U+7F70,벌,죄
閥,U+95A5,벌,공훈
筏,U+7B4F,벌,떼
橃,U+6A43,벌,떼
罸,U+7F78,벌,죄
凡,U+51E1,범,무릇
犯,U+72AF,범,범할
範,U+7BC4,범,법
帆,U+5E06,범,돛
杋,U+674B,범,
氾,U+6C3E,범,넘칠
范,U+8303,범,풀 이름
梵,U+68B5,범,범어
泛,U+6CDB,범,뜰
汎,U+6C4E,범,뜰
釩,U+91E9,범,
渢,U+6E22,범,
滼,U+6EFC,범,
笵,U+7B35,범,법
訉,U+8A09,범,말 많을
颿,U+98BF,범,돛
法,U+6CD5,법,법
琺,U+743A,법,법랑
壁,U+58C1,벽,벽
碧,U+78A7,벽,푸를
檗,U+6A97,벽,황벽나무
蘗,U+8617,벽,황경나무
變,U+8B8A,변,변할
辯,U+8FAF,변,말잘할
辨,U+8FA8,변,분별할
邊,U+908A,변,가
卞,U+535E,변,조급할
弁,U+5F01,변,고깔
便,U+4FBF,변,똥오줌
釆,U+91C6,변,분별할
忭,U+5FED,변,기뻐할
抃,U+6283,변,손뼉칠
籩,U+7C69,변,제기 이름
腁,U+8141,변,살갗 틀
賆,U+8CC6,변,더할
辮,U+8FAE,변,땋을
駢,U+99E2,변,나란히 할
骿,U+9ABF,변,통갈비
鴘,U+9D18,변,매
別,U+5225,별,나눌
瞥,U+77A5,별,언뜻 볼
鼈,U+9F08,별,자라
襒,U+8952,별,
𩠻,U+2983B,별,
莂,U+8382,별,
鷩,U+9DE9,별,금계
䭱,U+4B71,별,
㔡,U+3521,별,
炦,U+70A6,별,
彆,U+5F46,별,활 뒤틀릴
鱉,U+9C49,별,자라
寶,U+5BF6,보,보배
宝,U+5B9D,보,보배
珤,U+73E4,보,보배
㻄,U+3EC4,보,
步,U+6B65,보,걸을
歩,U+6B69,보,걸을
本,U+672C,본,밑
峯,U+5CEF,봉,봉우리
峰,U+5CF0,봉,峯과 同
漨,U+6F28,봉,
浲,U+6D72,봉,
付,U+4ED8,부,줄
符,U+7B26,부,부신
附,U+9644,부,붙을
府,U+5E9C,부,곳집
北,U+5317,북,북녘
帉,U+5E09,분,걸레
枌,U+678C,분,나무 이름
棼,U+68FC,분,마룻대
棻,U+68FB,분,향내 나는 나무
氛,U+6C1B,분,기운
湓,U+6E53,분,용솟음할
濆,U+6FC6,분,뿜을
犇,U+7287,분,달아날
畚,U+755A,분,삼태기
砏,U+780F,분,큰 소리
笨,U+7B28,분,거칠
肦,U+80A6,분,머리 클
膹,U+81B9,분,고기 삶은 국
蕡,U+8561,분,들깨
不,U+4E0D,불,아닐
佛,U+4F5B,불,부처
拂,U+62C2,불,떨
彿,U+5F7F,불,비슷할
弗,U+5F17,불,아닐
岪,U+5CAA,불,산길
祓,U+7953,불,푸닥거리할
紱,U+7D31,불,인끈
艴,U+8274,불,발끈할
茀,U+8300,불,풀 우거질
韍,U+97CD,불,폐슬
髴,U+9AF4,불,비슷할
黻,U+9EFB,불,수
朋,U+670B,붕,벗
崩,U+5D29,붕,무너질
鵬,U+9D6C,붕,대붕새
棚,U+68DA,붕,시렁
硼,U+787C,붕,붕산
繃,U+7E43,붕,묶을
堋,U+580B,붕,묻을
鬅,U+9B05,붕,머리 흐트러질
漰,U+6F30,붕,물결치는 소리
祕,U+7955,비,귀신
秘,U+79D8,비,숨길
毗,U+6BD7,비,도울
毘,U+6BD8,비,도울
貧,U+8CA7,빈,가난할
賓,U+8CD3,빈,손
頻,U+983B,빈,자주
彬,U+5F6C,빈,빛날
份,U+4EFD,빈,빛날
氷,U+6C37,빙,얼음
聘,U+8058,빙,찾아가다
憑,U+6191,빙,기대다
騁,U+9A01,빙,달리다
凭,U+51ED,빙,기대다
娉,U+5A09,빙,장가들다
削,U+524A,삭,깎을
朔,U+6714,삭,초하루
數,U+6578,삭,자주
索,U+7D22,삭,동아줄
爍,U+720D,삭,빛날
鑠,U+9460,삭,녹일
搠,U+6420,삭,
槊,U+69CA,삭,창
蒴,U+84B4,삭,말오줌대
山,U+5C71,산,뫼
産,U+7523,산,낳을
散,U+6563,산,흩을
算,U+7B97,산,셀
殺,U+6BBA,살,죽일
薩,U+85A9,살,보살
乷,U+4E77,살,음역자
撒,U+6492,살,뿌릴
煞,U+715E,살,죽일
三,U+4E09,삼,석
參,U+53C3,삼,석
蔘,U+8518,삼,인삼
杉,U+6749,삼,삼나무
衫,U+886B,삼,적삼
滲,U+6EF2,삼,스밀
芟,U+829F,삼,벨
森,U+68EE,삼,나무빽빽할
糝,U+7CDD,삼,나물죽
釤,U+91E4,삼,낫
鬖,U+9B16,삼,헝클어질
插,U+63D2,삽,꽂을
澁,U+6F81,삽,떫을
鈒,U+9212,삽,창
颯,U+98AF,삽,바람소리
卅,U+5345,삽,서른
唼,U+553C,삽,쪼아먹을
歃,U+6B43,삽,마실
翣,U+7FE3,삽,운삽
鍤,U+9364,삽,가래
霅,U+9705,삽,비올
霎,U+970E,삽,가랑비
揷,U+63F7,삽,꽂을
傷,U+50B7,상,상처
喪,U+55AA,상,죽을
嘗,U+5617,상,맛볼
裳,U+88F3,상,치마
塞,U+585E,새,변방
璽,U+74BD,새,도장
賽,U+8CFD,새,굿할
鰓,U+9C13,새,뿔심
愢,U+6122,새,
㘔,U+3614,새,
色,U+8272,색,빛
索,U+7D22,색,찾을
嗇,U+55C7,색,아낄
穡,U+7A61,색,거둘
塞,U+585E,색,막힐
槭,U+69ED,색,나뭇잎 떨어져 앙상할
濇,U+6FC7,색,껄끄러울
瀒,U+7012,색,껄끄러울
生,U+751F,생,날
牲,U+7272,생,희생
甥,U+7525,생,생질
省,U+7701,생,덜
笙,U+7B19,생,생황
眚,U+771A,생,눈에백태낄
鉎,U+924E,생,녹
敍,U+654D,서,차례
徐,U+5F90,서,천천할
庶,U+5EB6,서,여러
恕,U+6055,서,용서할
薯,U+85AF,서,참마
鋤,U+92E4,서,호미
黍,U+9ECD,서,기장
鼠,U+9F20,서,쥐
藇,U+85C7,서,
揟,U+63DF,서,나무이름
悆,U+6086,서,
湑,U+6E51,서,거를
偦,U+5066,서,
稰,U+7A30,서,
㷂,U+3DC2,서,
遾,U+907E,서,
噬,U+566C,서,씹을
撕,U+6495,서,훈계할
壻,U+58FB,서,사위
婿,U+5A7F,서,사위
嶼,U+5DBC,서,섬
㠘,U+3818,서,
㣽,U+38FD,서,
晳,U+6673,석,밝을
晰,U+6670,석,밝을
善,U+5584,선,착할
船,U+8239,선,배
選,U+9078,선,가릴
宣,U+5BA3,선,베풀
膳,U+81B3,선,반찬
饍,U+994D,선,반찬
雪,U+96EA,설,눈
說,U+8AAA,설,말씀
設,U+8A2D,설,베풀
舌,U+820C,설,혀
禼,U+79BC,설,
卨,U+5368,설,사람이름
涉,U+6D89,섭,물 건널
攝,U+651D,섭,몰아 잡을
燮,U+71EE,섭,불에 익힐
葉,U+8449,섭,고을이름
㰔,U+3C14,섭,
𦁗,U+26057,섭,
躞,U+8E9E,섭,족자 마구리
躡,U+8EA1,섭,밟을
囁,U+56C1,섭,말하려다 멈출
懾,U+61FE,섭,무서울
灄,U+7044,섭,흠치르르할
聶,U+8076,섭,소곤거릴
鑷,U+9477,섭,쪽집게
顳,U+9873,섭,귀밑 뼈
誠,U+8AA0,성,미쁠
盛,U+76DB,성,담을
省,U+7701,성,살필
聖,U+8056,성,성인
晟,U+665F,성,밝을
晠,U+6660,성,
貰,U+8CB0,세,빌릴
笹,U+7B39,세,가는 대
說,U+8AAA,세,달랠
忕,U+5FD5,세,
洒,U+6D12,세,씻을
涗,U+6D97,세,
𡜧,U+21727,세,
銴,U+92B4,세,
彗,U+5F57,세,혜성
帨,U+5E28,세,차는 수건
繐,U+7E50,세,가늘고 성긴 베
蛻,U+86FB,세,매미 허물
涑,U+6D91,속,헹굴
謖,U+8B16,속,일어날
贖,U+8D16,속,속바칠
洬,U+6D2C,속,비 올
遬,U+906C,속,공손할
孫,U+5B6B,손,손자
損,U+640D,손,덜
遜,U+905C,손,순할
巽,U+5DFD,손,사양할
蓀,U+84C0,손,향풀 이름
飧,U+98E7,손,저녁밥
飡,U+98E1,손,저녁밥
宋,U+5B8B,송,송나라
淞,U+6DDE,송,강이름
悚,U+609A,송,두려울
竦,U+7AE6,송,공경할
憽,U+61BD,송,
鬆,U+9B06,송,터럭 더부룩할
刷,U+5237,쇄,긁을
鎖,U+9396,쇄,자물쇠
殺,U+6BBA,쇄,빠를
灑,U+7051,쇄,뿌릴
碎,U+788E,쇄,부술
曬,U+66EC,쇄,쬘
瑣,U+7463,쇄,옥가루
鎻,U+93BB,쇄,
𮕩,U+2E569,쇠,
釗,U+91D7,쇠,쇠
壽,U+58FD,수,목숨
數,U+6578,수,헤아릴
修,U+4FEE,수,닦을
秀,U+79C0,수,빼어날
岫,U+5CAB,수,바위구멍
峀,U+5CC0,수,산굴
豎,U+8C4E,수,세울
竪,U+7AEA,수,세울
讎,U+8B8E,수,짝
讐,U+8B90,수,원수
塾,U+587E,숙,사랑방
琡,U+7421,숙,옥 이름
璹,U+74B9,숙,옥 그릇
橚,U+6A5A,숙,길고 꼿꼿할
夙,U+5919,숙,이를
潚,U+6F5A,숙,빠를
菽,U+83FD,숙,콩
倏,U+500F,숙,잠간
俶,U+4FF6,숙,비롯할
儵,U+5135,숙,잿빛
婌,U+5A4C,숙,궁녀 벼슬이름
驌,U+9A4C,숙,좋은말
鷫,U+9DEB,숙,숙상새
橓,U+6A53,순,무궁화나무
蓴,U+84F4,순,순나물
蕣,U+8563,순,무궁화
詢,U+8A62,순,꾀할
馴,U+99B4,순,길들일
盾,U+76FE,순,방패
峋,U+5CCB,순,후미질
姰,U+59F0,순,
畃,U+7543,순,
侚,U+4F9A,순,좇을
盹,U+76F9,순,눈 감을
眴,U+7734,순,눈짓할
紃,U+7D03,순,신에 실선 두를
肫,U+80AB,순,광대뼈
戌,U+620C,술,개
述,U+8FF0,술,이을
術,U+8853,술,재주
鉥,U+9265,술,돗바늘
𡊍,U+2128D,술,
絉,U+7D49,술,끈
崇,U+5D07,숭,높을
嵩,U+5D69,숭,높을
崧,U+5D27,숭,산 불끈 솟을
菘,U+83D8,숭,배추
習,U+7FD2,습,익힐
拾,U+62FE,습,주울
濕,U+6FD5,습,젖을
襲,U+8972,습,옷 덧입을
褶,U+8936,습,슬갑
慴,U+6174,습,두려워할
槢,U+69E2,습,
隰,U+96B0,습,진펄
丞,U+4E1E,승,이을
陞,U+965E,승,오를
繩,U+7E69,승,노끈
蠅,U+8805,승,파리
升,U+5347,승,되
榺,U+69BA,승,
氶,U+6C36,승,
塍,U+584D,승,밭두둑
㞼,U+37BC,승,
陹,U+9679,승,
鬙,U+9B19,승,터럭 더부룩할
㴍,U+3D0D,승,
阩,U+9629,승,
詩,U+8A69,시,귀글
施,U+65BD,시,베풀
試,U+8A66,시,시험할
始,U+59CB,시,비로소
柹,U+67F9,시,감
柿,U+67FF,시,감나무
枾,U+67BE,시,감나무
栻,U+683B,식,점판
埴,U+57F4,식,찰진흙
殖,U+6B96,식,날
湜,U+6E5C,식,물 맑을
軾,U+8EFE,식,수레앞 가로막이 나무
寔,U+5BD4,식,이
拭,U+62ED,식,닦을
熄,U+7184,식,불 꺼질
篒,U+7BD2,식,대밥통
蝕,U+8755,식,벌레먹을
媳,U+5AB3,식,며느리
信,U+4FE1,신,믿을
辛,U+8F9B,신,매울
新,U+65B0,신,새
伸,U+4F38,신,펼
失,U+5931,실,잃을
室,U+5BA4,실,집
實,U+5BE6,실,열매
悉,U+6089,실,모두
蟋,U+87CB,실,귀뚜라미
実,U+5B9F,실,열매
沁,U+6C81,심,스며들
沈,U+6C88,심,성씨
瀋,U+700B,심,즙 낼
芯,U+82AF,심,등심초
諶,U+8AF6,심,참
潯,U+6F6F,심,물가
燖,U+71D6,심,삶을
葚,U+845A,심,뽕나무 열매
鐔,U+9414,심,칼날 아래 코등이
鱏,U+9C4F,심,칼철갑상어
十,U+5341,십,열
什,U+4EC0,십,열 사람
拾,U+62FE,십,十의 갖은
雙,U+96D9,쌍,짝
双,U+53CC,쌍,짝
氏,U+6C0F,씨,성
硪,U+786A,아,
皒,U+7692,아,
砑,U+7811,아,갈
婭,U+5A6D,아,
椏,U+690F,아,
啊,U+554A,아,사랑할
妿,U+59BF,아,
猗,U+7317,아,부드러울
枒,U+6792,아,
丫,U+4E2B,아,가장귀
疴,U+75B4,아,앓을
笌,U+7B0C,아,대싹
迓,U+8FD3,아,마중할
錏,U+930F,아,투구의 목가림
惡,U+60E1,악,나쁠
岳,U+5CB3,악,큰 산
晏,U+664F,안,늦을
按,U+6309,안,살필
鞍,U+978D,안,안장
鮟,U+9B9F,안,아귀
𤎝,U+2439D,안,
姲,U+59F2,안,
婩,U+5A69,안,
矸,U+77F8,안,
侒,U+4F92,안,편안할
䭓,U+4B53,안,
犴,U+72B4,안,들개
錌,U+930C,안,
妟,U+599F,안,
雁,U+96C1,안,기러기
鴈,U+9D08,안,기러기
案,U+6848,안,책상
桉,U+6849,안,안석
謁,U+8B01,알,아뢸
斡,U+65A1,알,돌릴
軋,U+8ECB,알,수레 삐걱거릴
閼,U+95BC,알,가로막을
嘎,U+560E,알,새소리
揠,U+63E0,알,뽑을
穵,U+7A75,알,구멍
訐,U+8A10,알,들추어 낼
遏,U+904F,알,막을
頞,U+981E,알,콧마루
鴶,U+9D36,알,뻐꾸기
暗,U+6697,암,어두울
巖,U+5DD6,암,바위
岩,U+5CA9,암,바위
壓,U+58D3,압,누를
押,U+62BC,압,수결 둘
鴨,U+9D28,압,오리
狎,U+72CE,압,친근할
仰,U+4EF0,앙,우러를
央,U+592E,앙,가운데
殃,U+6B83,앙,재앙
鴦,U+9D26,앙,암원앙새
怏,U+600F,앙,원망할
秧,U+79E7,앙,모
昂,U+6602,앙,높을
